dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
176,85962,HP0742,,E,15547264,
176,85962,HP0740,,E,15547264,
176,85962,HP0739,,NE,15547264,
176,85962,HP0738,,E,15547264,
176,85962,HP0737,,E,15547264,
176,85962,HP0735,,NE,15547264,
176,85962,HP0733,,NE,15547264,
176,85962,HP0734,,NE,15547264,
176,85962,HP0731,,NE,15547264,
176,85962,HP0730,,NE,15547264,
176,85962,HP0729,,E,15547264,
176,85962,HP0728,,NE,15547264,
176,85962,HP0726,,NE,15547264,
176,85962,HP0725,,NE,15547264,
176,85962,HP0723,,NE,15547264,
176,85962,HP0722,,NE,15547264,
176,85962,HP0721,,NE,15547264,
176,85962,HP0719,,NE,15547264,
176,85962,HP0718,,NE,15547264,
176,85962,HP0716,,E,15547264,
176,85962,HP0715,,NE,15547264,
176,85962,HP0714,,NE,15547264,
176,85962,HP0713,,NE,15547264,
176,85962,HP0712,,NE,15547264,
176,85962,HP0710,,NE,15547264,
176,85962,HP0709,,NE,15547264,
176,85962,HP0708,,E,15547264,
176,85962,HP0707,,E,15547264,
176,85962,HP0706,,NE,15547264,
176,85962,HP0705,,NE,15547264,
176,85962,HP0703,,NE,15547264,
176,85962,HP0702,,NE,15547264,
176,85962,HP0701,,NE,15547264,
176,85962,HP0699,,NE,15547264,
176,85962,HP0698,,NE,15547264,
176,85962,HP0696,,NE,15547264,
176,85962,HP0695,,NE,15547264,
176,85962,HP0693,,NE,15547264,
176,85962,HP0692,,NE,15547264,
176,85962,HP0691,,NE,15547264,
176,85962,HP0690,,NE,15547264,
176,85962,HP0689,,NE,15547264,
176,85962,HP0687,,NE,15547264,
176,85962,HP0685,,NE,15547264,
176,85962,HP0686,,NE,15547264,
176,85962,HP0684,,E,15547264,
176,85962,HP0683,,NE,15547264,
176,85962,HP0680,,NE,15547264,
176,85962,HP0679,,NE,15547264,
176,85962,HP0676,,NE,15547264,
176,85962,HP0675,,NE,15547264,
176,85962,HP0673,,NE,15547264,
176,85962,HP0671,,NE,15547264,
176,85962,HP0669,,NE,15547264,
176,85962,HP0667,,NE,15547264,
176,85962,HP0666,,NE,15547264,
176,85962,HP0665,,NE,15547264,
176,85962,HP0664,,E,15547264,
176,85962,HP0663,,E,15547264,
176,85962,HP0661,,E,15547264,
176,85962,HP0660,,NE,15547264,
176,85962,HP0659,,NE,15547264,
176,85962,HP0658,,E,15547264,
176,85962,HP0657,,NE,15547264,
176,85962,HP0656,,E,15547264,
176,85962,HP0655,,NE,15547264,
176,85962,HP0654,,NE,15547264,
176,85962,HP0653,,NE,15547264,
176,85962,HP0650,,E,15547264,
